Yerleşke;Bölge Anahtarı;Eyalet;Başlangıç Sahibi;Renk;X;Y
Edessa;rom_mesopotamia_osroene;Mesopotamia;Seleucid;#B4C7D6;1330;710
Eildon;rom_caledonia_et_hibernia_caledonia;Caledonia et Hibernia;Caledones;#243F5A;248;1468
Ekbatana;rom_media_magna_media;Media Magna;Media Atropatene;#E5841D;1542;661
Ephesus;rom_asia_lydia;Asia;Sardes;#D25F2D;1022;733
Epidamnos;rom_illyria_illyria;Illyria;Ardiaei;#EBD8C7;810;894
Eucratideia;rom_bactria_tocharia;Bactria;Baktria;#2B4E84;1992;726
Eudaemon;rom_arabia_felix_himyar;Arabia Felix;Saba;#8CE967;1442;109
Flevum;rom_magna_germania_frisia;Magna Germania;Frisii;#704B39;462;1366
Gabala;rom_caucasia_albania;Caucasia;Ardhan;#3B7674;1546;857
Gadira;rom_baetica_turdetania;Baetica;Nova Carthago;#74192B;140;638
Galic;rom_sarmatia_galicia;Sarmatia;Anartes;#DCD4AD;952;1183
Garama;rom_phazania_zinchecra;Phazania;Garamantia;#A67A57;640;388
Gazaca;rom_media_magna_atropatene;Media Magna;Media Atropatene;#E5841D;1506;728
Gelonus;rom_scythia_scythia;Scythia;Roxolani;#39B2C6;1520;1276
Genua;rom_cisalpina_liguria;Cisalpina;Liguria;#827E72;528;982
Gerrha;rom_arabia_magna_dilmun;Arabia Magna;Gerrhaea;#AB844B;1542;372
Gor;rom_persis_lyan;Persis;Persia;#6DAEEE;1622;451
Harmozia;rom_carmania_karmania;Carmania;Drangiana;#53B125;1704;418
Hatra;rom_mesopotamia_athura;Mesopotamia;Media;#D22DA0;1404;661
Hecatompylos;rom_parthia_parthia;Parthia;Parthava;#83868D;1670;647
Hegra;rom_nabataea_lihyan;Nabataea;Nabataea;#A05142;1264;411
Hierapytna;rom_hellas_creta;Hellas;Knossos;#A6306A;974;626
Iader;rom_illyria_liburnia;Illyria;Dalmatae;#C2CEC4;726;973
Ibossim;rom_cartaginensis_baleareis;Cartaginensis;Carthage;#E4D9C7;334;689
Iconium;rom_galatia_et_cappadocia_lycaonia;Galatia et Cappadocia;Sardes;#D25F2D;1162;746
Iol;rom_mauretania_numidia;Mauretania;Nova Carthago;#74192B;368;615
Iska;rom_britannia_dumnonia;Britannia;Dumnonii;#943515;238;1260
Istros;rom_hercynia_luna_silva;Hercynia;Boii;#79A568;780;1162
Jerusalem;rom_nabataea_iudaea;Nabataea;Egypt;#2552B1;1214;511
Kapisene;rom_arachosia_paropamisadae;Arachosia;Arachosia;#4A484B;1976;633
Karalis;rom_corsica_et_sardinia_sardinia;Corsica et Sardinia;Carthage;#E4D9C7;518;744
Kartuba;rom_baetica_baeturia;Baetica;Turdetani;#E45344;170;703
Kath;rom_chorasmia_korasmia;Chorasmia;Khorasmii;#FCC29D;1800;904
Koria;rom_raetia_et_noricum_raetia;Raetia et Noricum;Raeti;#C4AA93;580;1093
Larissa;rom_macedonia_thessalia;Macedonia;Epirus;#BA7148;872;793
Lemonum;rom_aquitania_pictavis;Aquitania;Pictones;#4F360E;318;1065
Lepcis;rom_africa_tripolis;Africa;Libya;#5244E4;670;499
Lilybaeum;rom_magna_graecia_lilybaion;Magna Graecia;Carthage;#E4D9C7;598;700
Lupfurdum;rom_suebia_lusatia;Suebia;Suebi;#603433;682;1292
Maas-gat;rom_arabia_felix_maka;Arabia Felix;Mascat;#8A4EDA;1688;312
Macomades;rom_africa_syrtis;Africa;Libya;#5244E4;746;469
Malva;rom_dacia_dacia_inferior;Dacia;Getae;#8D6B48;946;989
Maracanda;rom_transoxania_sodgiana;Transoxania;Baktria;#2B4E84;1962;800
Marib;rom_arabia_felix_saba;Arabia Felix;Saba;#8CE967;1472;222
Massalia;rom_provincia_transalpina;Provincia;Massilia;#212540;450;918
Mazaca;rom_galatia_et_cappadocia_cappadocia;Galatia et Cappadocia;Cappadocia;#A83F43;1216;765
Medhlan;rom_cisalpina_insubria;Cisalpina;Insubres;#9239C6;554;1024
Memphis;rom_aegyptos_ta_ament;Aegyptus;Egypt;#2552B1;1084;425
Meroe;rom_aithiops_kush;Aethiopia;Kush;#DB9124;1196;132
Merv;rom_aria_margiana;Aria;Aria;#B76849;1830;733
Migdol;rom_mauretania_atlas;Mauretania;Gaetuli;#30A631;48;502
Mons Regius;rom_sarmatia_aestia;Sarmatia;Aestii;#A65738;836;1449
Moridunon;rom_britannia_demetia;Britannia;Demetae;#CBBA82;204;1303
Mtskheta;rom_caucasia_iberia;Caucasia;Kartli;#996A58;1470;892
Myos Hormos;rom_aegyptos_ta_abt;Aegyptus;Egypt;#2552B1;1166;377
Namnetum;rom_celtica_aremorica;Celtica;Namnetes;#B13E25;246;1116
Navissos;rom_thracia_dardania;Thracia;Triballi;#5A7E52;890;924
Neapolis;rom_italia_samnium;Italia;Rome;#BBA31B;650;846
Nemetocenna;rom_belgica_silva_carbonaria;Belgica;Atrebartes;#A2C3A6;404;1248
Nemossos;rom_aquitania_gergovia;Aquitania;Arverni;#24412D;386;1026
Nicomedia;rom_bithynia_et_pontus_bythynia;Bithynia et Pontus;Bithynia;#95A4BB;1092;850
Nisa;rom_parthia_astauene;Parthia;Parthia;#855C6A;1760;744
Noreia;rom_raetia_et_noricum_noricum;Raetia et Noricum;Nori;#7C6D46;702;1089
Numantia;rom_cartaginensis_celtiberia;Cartaginensis;Arevaci;#AA4A3C;230;827
Octuduron;rom_raetia_et_noricum_helvetia;Raetia et Noricum;Helvetii;#E17570;502;1056
Odessos;rom_thracia_moesia;Thracia;Odrysian Kingdom;#C6396C;1032;948
Olbia;rom_ponto_caspia_oium;Ponto-Caspia;Catiaroi;#84D879;1118;1082
Olisipo;rom_lusitania_lusitania;Lusitania;Lusitani;#ECC03B;54;753
Oraea;rom_gedrosia_rhambacia;Gedrosia;Drangiana;#53B125;1868;393
Palmyra;rom_syria_aram;Syria;Seleucid;#B4C7D6;1294;610
Panticapaeum;rom_bosporus_taurica;Bosporus;Cimmeria;#25354C;1236;1019
Paraitonion;rom_libue_marmarica;Libya;Cyrenaica;#F5CE6F;992;483
Patavium;rom_cisalpina_venetia;Cisalpina;Veneti;#982E2E;620;1017
Pella;rom_macedonia_makedonia;Macedonia;Macedon;#53152A;902;848
Pergamon;rom_asia_mysia;Asia;Pergamon;#A66C30;1026;793
Persepolis;rom_persis_parsa;Persis;Persia;#6DAEEE;1644;508
Pessinus;rom_asia_phrygia;Asia;Sardes;#D25F2D;1102;786
Petra;rom_nabataea_jordan;Nabataea;Nabataea;#A05142;1246;465
Petrodava;rom_dacia_bastarnia;Dacia;Bastarnae;#743734;1004;1100
Phanagoria;rom_bosporus_sindica;Bosporus;Cimmeria;#25354C;1276;1008
Phasis;rom_caucasia_colchis;Caucasia;Colchis;#9D96A8;1380;927
Phrada;rom_aria_drangiana;Aria;Sagartia;#526B6F;1826;555
Ptolemais Theron;rom_aithiops_medjay;Aethiopia;Kush;#DB9124;1258;206
Pulpudeva;rom_thracia_thracia;Thracia;Macedon;#53152A;962;901
Pura;rom_gedrosia_gedrosia;Gedrosia;Drangiana;#53B125;1790;434
Qart Hadasht;rom_cartaginensis_bastetania;Cartaginensis;Carthage;#E4D9C7;274;675
Rhaga;rom_media_magna_rhagau;Media Magna;Persia;#6DAEEE;1612;654
Rhodos;rom_asia_rhodes;Asia;Rhodos;#5568A2;1044;689
Rhougion;rom_suebia_rugia;Suebia;Rugii;#866846;664;1405
Roma;rom_italia_latium;Italia;Rome;#BBA31B;626;876
Salamis;rom_cilicia_cyprus;Cilicia;Cyprus;#F6D27C;1192;649
Samandar;rom_ponto_caspia_didoya;Ponto-Caspia;Aorsoi;#FAE5A4;1508;966
Samosata;rom_galatia_et_cappadocia_commagene;Galatia et Cappadocia;Cappadocia;#A83F43;1284;760
Sarai;rom_scythia_turan;Scythia;Thyssagetae;#C6534C;1642;1123
Segestica;rom_pannonia_pannonia_superior;Pannonia;Breuci;#D6CFBC;766;1038
Seleucia;rom_mesopotamia_babylonia;Mesopotamia;Media;#D22DA0;1466;578
Side;rom_cilicia_pamphylia;Cilicia;Cyprus;#F6D27C;1126;716
Singidun;rom_pannonia_pannonia_inferior;Pannonia;Scordisci;#C3A35A;852;998
Sinope;rom_bithynia_et_pontus_paphlagonia;Bithynia et Pontus;Pontus;#264C61;1212;897
Siracena;rom_ponto_caspia_zyx;Ponto-Caspia;Siraces;#CF5975;1404;1024
Solokha;rom_ponto_caspia_cimmeria;Ponto-Caspia;Royal Scythia;#CD79D8;1208;1091
Sparta;rom_hellas_peloponnesos;Hellas;Sparta;#600502;870;714
Susa;rom_persis_elam;Persis;Persia;#6DAEEE;1578;550
Susia;rom_parthia_traxiane;Parthia;Parthava;#83868D;1766;673
Syracusae;rom_magna_graecia_sirako;Magna Graecia;Syracuse;#C69339;672;663
Tanais;rom_bosporus_maeotia;Bosporus;Cimmeria;#25354C;1316;1089
Tarraco;rom_tarraconensis_tarraconensis;Tarraconensis;Cessetani;#C7A77E;342;795
Tarsus;rom_cilicia_cilicia;Cilicia;Seleucid;#B4C7D6;1212;726
Thapsus;rom_africa_byzacium;Africa;Libya;#5244E4;580;580
Tingis;rom_mauretania_tingitana;Mauretania;Nova Carthago;#74192B;144;603
Tolosa;rom_provincia_narbonensis;Provincia;Volcae;#59B0CF;362;941
Trapezos;rom_bithynia_et_pontus_riza;Bithynia et Pontus;Trapezos;#E967CC;1338;855
Treverorum;rom_belgica_arduenna_silva;Belgica;Treverii;#4E7D5D;484;1199
Tulifurdum;rom_magna_germania_silva_bacenis;Magna Germania;Cherusci;#323547;568;1310
Tur;rom_sarmatia_pripet;Sarmatia;Budini;#FCF253;1042;1283
Tushpa;rom_armenia_corduene;Armenia;Armenia;#7D8F75;1442;765
Tyros;rom_syria_phonecia;Syria;Seleucid;#B4C7D6;1226;599
Uburzis;rom_magna_germania_silva_nigra;Magna Germania;Marcomanni;#4D2819;584;1213
Velathri;rom_italia_etruria;Italia;Etruscan League;#4E9FDA;600;938
Vesontio;rom_germania_minor_germania_superior;Germania Minor;Sequani;#4B8300;490;1139
Yathrib;rom_arabia_magna_lathrippa;Arabia Magna;Ma'in;#82ABA3;1368;372
Zadrakarta;rom_parthia_hyrcania;Parthia;Parthava;#83868D;1674;689
Zarmizegetusa;rom_dacia_dacia_superior;Dacia;Apulii;#A65F35;908;1058
